initial_r_1,initial_r_2,r_1,r_2,ED_1,ED_2,initial_a_1,initial_a_2,initial_a_3,initial_a_4,a_1,a_2,a_3,a_4,EA_1,EA_2,EA_3,EA_4,ED_vec_max,EA_vec_max,Algo,Converged,Iterations
0.01,0.01,3.013534075447628,2.3534942950594462e-46,-0.19427985016654148,-2.421427573247895,3.0,3.0,0.75,0.75,26.953516112751586,12.945930446641343,6.729304861273093,7.789909111195561e-8,0.01207717095218186,-0.03630937395147349,0.012093459652849248,3.437050051681671,2.421427573247895,3.437050051681671,LBFGS,1.0,3.0
0.01,0.01,3.013534075447628,2.3534942950594462e-46,-0.19427985016654148,-2.421427573247895,3.0,3.0,0.75,0.75,26.953516112751586,12.945930446641343,6.729304861273093,7.789909111195561e-8,0.01207717095218186,-0.03630937395147349,0.012093459652849248,3.437050051681671,2.421427573247895,3.437050051681671,NM,1.0,347.0
0.01,0.01,2.907044630113824,2.996051898027708,7.460698725481052e-14,-1.0658141036401503e-14,3.0,3.0,0.75,0.6,12.888848537435797,22.044730252586483,3.650395479676996,5.517693470905806,-1.687538997430238e-13,1.3855583347321954e-13,-5.759837051755312e-13,4.3520742565306136e-14,7.460698725481052e-14,5.759837051755312e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138153,2.996051898027709,-1.3145040611561853e-13,-1.7053025658242404e-13,3.0,3.0,0.6,3.0,12.888848537435482,22.044730252586582,3.650395479676317,5.517693470905879,-5.3290705182007514e-14,2.6645352591003757e-13,9.370282327836321e-14,2.5757174171303632e-14,1.7053025658242404e-13,2.6645352591003757e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138095,2.996051898027709,-1.2434497875801753e-13,-2.4868995751603507e-14,3.0,3.0,0.6,1.5,12.888848537435024,22.0447302525871,3.6503954796762867,5.5176934709059475,2.398081733190338e-13,-6.394884621840902e-14,1.1457501614131615e-13,4.440892098500626e-15,1.2434497875801753e-13,2.398081733190338e-13,LBFGS,1.0,2.0
0.01,0.01,2.907044630113814,2.9960518980277095,-4.547473508864641e-13,-3.552713678800501e-14,3.0,3.0,0.6,1.0,12.888848537435482,22.04473025258751,3.6503954796760025,5.517693470906141,-2.859934511434403e-13,-4.192202140984591e-13,3.5127456499139953e-13,-1.7674750552032492e-13,4.547473508864641e-13,4.192202140984591e-13,LBFGS,1.0,2.0
0.01,0.01,3.013534102188722,2.688635652867426e-12,-0.19427988637793092,-2.4214276019419065,3.0,3.0,0.6,0.75,26.953515870860173,12.945930404467266,6.729304797898322,7.789908214274219e-8,0.012077172955191173,-0.03630938256947758,0.012093463055519393,3.437050029320173,2.4214276019419065,3.437050029320173,LBFGS,1.0,2.0
0.01,0.01,3.0135340784900833,1.4899285217887174e-17,-0.19427982992272774,-2.4214276044985423,3.0,3.0,0.6,0.75,26.953516110822097,12.945930375219561,6.729304864563648,7.789908756422032e-8,0.012077174693082782,-0.0363093702319528,0.01209345681514673,3.437050030845774,2.4214276044985423,3.437050030845774,NM,1.0,328.0
0.01,0.01,3.013534058208895,6.221444751568439e-144,-0.19427981476394862,-2.4214275686930273,3.0,3.0,0.6,0.6,26.95351628500488,12.94593044845498,6.729304905501726,7.789909548954074e-8,0.012077167749012574,-0.036309373580802884,0.0120934576867473,3.4370500569138365,2.4214275686930273,3.4370500569138365,LBFGS,1.0,2.0
0.01,0.01,3.0135340721596866,1.684955143368113e-156,-0.19427984373920992,-2.4214275718178664,3.0,3.0,0.6,0.6,26.953516153006316,12.94593045451553,6.729304869012933,7.789909193599121e-8,0.012077162552120768,-0.03630938006282669,0.012093459876676427,3.4370500530166104,2.4214275718178664,3.4370500530166104,NM,0.0,7.0e6
0.01,0.01,1.320491944580917,5.230500137962942,-0.6688448793082848,0.06826667588275726,3.0,6.0,3.0,6.0,9.422929188019937e-7,7.380661057590439,11.000343192763404,1.845396262999922,2.891382536947969,-0.00030804955013952195,-0.056105881370656974,-0.0003080109898472294,0.6688448793082848,2.891382536947969,LBFGS,1.0,13.0
0.01,0.01,1.3204919478960178,5.230500139719871,-0.6688449188264158,0.06826666603457454,3.0,6.0,3.0,6.0,9.422929181964707e-7,7.380661039982808,11.00034314848823,1.845396264373515,2.891382528221128,-0.0003080517661615545,-0.05610587193851835,-0.0003080173193532598,0.6688449188264158,2.891382528221128,NM,0.0,7.0e6
0.01,0.01,2.907044630113804,2.996051898027709,-9.947598300641403e-14,-7.105427357601002e-15,3.0,6.0,3.0,3.0,12.888848537434823,22.044730252586326,3.6503954796760794,5.51769347090611,4.618527782440651e-13,7.034373084024992e-13,3.530509218307998e-13,-1.5987211554602254e-13,9.947598300641403e-14,7.034373084024992e-13,LBFGS,1.0,2.0
0.01,0.01,2.9070446301137958,2.996051898027708,4.867217739956686e-13,1.1723955140041653e-13,3.0,6.0,3.0,2.0,12.888848537435253,22.04473025258707,3.6503954796764497,5.517693470905889,2.113864638886298e-13,-1.4210854715202004e-13,8.215650382226158e-14,3.730349362740526e-14,4.867217739956686e-13,2.113864638886298e-13,LBFGS,1.0,2.0
0.01,0.01,2.9070446301138126,2.996051898027708,-1.6342482922482304e-13,1.7408297026122455e-13,3.0,6.0,3.0,1.5,12.888848537435596,22.044730252586795,3.6503954796763365,5.517693470905752,-1.2612133559741778e-13,3.197442310920451e-14,9.459100169806334e-14,1.4921397450962104e-13,1.7408297026122455e-13,1.4921397450962104e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138095,2.996051898027708,1.8118839761882555e-13,3.552713678800501e-14,3.0,6.0,3.0,1.2,12.88884853743575,22.044730252586906,3.6503954796765186,5.517693470905683,-1.8829382497642655e-13,-1.4210854715202004e-13,-4.04121180963557e-14,2.0250467969162855e-13,1.8118839761882555e-13,2.0250467969162855e-13,LBFGS,1.0,1.0
0.01,0.01,4.961738269704217,1.6775098797053365e-15,6.819225265530804e-5,-0.657794415003985,3.0,6.0,1.5,6.0,9.915521788585103,1.0594926830933074e-14,2.478880765784408,8.766856360214407,-4.2541434197573835e-7,2.191905702687797,-4.249917178178464e-7,-7.349289088054434e-5,0.657794415003985,2.191905702687797,LBFGS,1.0,3.0
0.01,0.01,4.9617382686717635,6.612214662237815e-18,6.820614062874597e-5,-0.6577944269326927,3.0,6.0,1.5,6.0,9.915521812876527,1.0594926620810864e-14,2.478880799011577,8.766856356378149,-4.34141846028524e-7,2.19190569910718,-4.543279068514039e-7,-7.350336850642236e-5,0.6577944269326927,2.19190569910718,NM,1.0,430.0
0.01,0.01,2.9070446301138118,2.996051898027708,9.237055564881302e-14,2.5934809855243657e-13,3.0,6.0,1.5,3.0,12.88884853743543,22.04473025258669,3.650395479676744,5.5176934709063055,2.6645352591003757e-14,1.7053025658242404e-13,-3.0242475190789264e-13,-3.9612757518625585e-13,2.5934809855243657e-13,3.9612757518625585e-13,LBFGS,1.0,1.0
0.01,0.01,2.907044630113808,2.9960518980277095,-1.9184653865522705e-13,-5.3290705182007514e-14,3.0,6.0,1.5,2.0,12.888848537434532,22.04473025258712,3.6503954796762375,5.51769347090613,5.702105454474804e-13,7.460698725481052e-14,1.318944953254686e-13,-1.3944401189291966e-13,1.9184653865522705e-13,5.702105454474804e-13,LBFGS,1.0,2.0
0.01,0.01,2.907044630113819,2.996051898027709,-9.947598300641403e-14,-1.2434497875801753e-13,3.0,6.0,1.5,1.5,12.888848537435653,22.044730252586845,3.650395479676532,5.517693470906094,-2.2026824808563106e-13,-7.105427357601002e-15,-1.3589129821411916e-13,-1.9184653865522705e-13,1.2434497875801753e-13,2.2026824808563106e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301137984,2.996051898027709,1.5631940186722204e-13,3.552713678800501e-15,3.0,6.0,1.5,1.2,12.888848537435328,22.04473025258762,3.6503954796761304,5.517693470906125,-4.796163466380676e-14,-5.151434834260726e-13,3.3661962106634746e-13,-1.5631940186722204e-13,1.5631940186722204e-13,5.151434834260726e-13,LBFGS,1.0,1.0
0.01,0.01,4.961738269619808,1.6701443633456295e-15,6.819280873671119e-5,-0.6577944172320827,3.0,6.0,1.0,6.0,9.915521789638643,1.059492678552494e-14,2.478880766486646,8.766856360772225,-4.25436047279959e-7,2.1919057020190156,-4.2543599709787827e-7,-7.349612231344338e-5,0.6577944172320827,2.1919057020190156,LBFGS,1.0,8.0
0.01,0.01,4.961738269237457,2.0119821148254174e-17,6.81955984624949e-5,-0.6577944143533587,3.0,6.0,1.0,6.0,9.915521790080168,1.0594926843072741e-14,2.4788807753793876,8.766856360283379,-4.210911423996322e-7,2.191905702882968,-4.3313213105022896e-7,-7.349217910324057e-5,0.6577944143533587,2.191905702882968,NM,1.0,504.0
0.01,0.01,2.9070446301138158,2.996051898027708,7.105427357601002e-14,1.7408297026122455e-13,3.0,6.0,1.0,3.0,12.888848537435797,22.044730252587012,3.6503954796767766,5.517693470906102,-2.8066438062523957e-13,-2.2737367544323206e-13,-3.4150460237469815e-13,-2.113864638886298e-13,1.7408297026122455e-13,3.4150460237469815e-13,LBFGS,1.0,2.0
0.01,0.01,2.9070446301138175,2.996051898027709,-1.4210854715202004e-14,-1.6342482922482304e-13,3.0,6.0,1.0,2.0,12.888848537435527,22.044730252586678,3.6503954796765714,5.517693470906061,-7.815970093361102e-14,1.5276668818842154e-13,-1.6298074001497298e-13,-1.6076029396572267e-13,1.6342482922482304e-13,1.6298074001497298e-13,LBFGS,1.0,1.0
0.01,0.01,3.01353405266129,1.4987335319411265e-25,-0.194279828803392,-2.4214275380964683,3.0,6.0,1.0,1.5,26.95351630651175,12.945930512569525,6.729304911331197,7.789909960660365e-8,0.01207717026307975,-0.036309372677878926,0.012093457862510704,3.4370500776758464,2.4214275380964683,3.4370500776758464,LBFGS,1.0,4.0
0.01,0.01,3.01353405266129,1.4987335319411265e-25,-0.194279828803392,-2.4214275380964683,3.0,6.0,1.0,1.5,26.95351630651175,12.945930512569525,6.729304911331197,7.789909960660365e-8,0.01207717026307975,-0.036309372677878926,0.012093457862510704,3.4370500776758464,2.4214275380964683,3.4370500776758464,NM,1.0,332.0
0.01,0.01,2.9070446301138095,2.9960518980277095,-2.3092638912203256e-13,-1.9895196601282805e-13,3.0,6.0,1.0,1.2,12.888848537435424,22.044730252587414,3.650395479675973,5.517693470905845,-1.5987211554602254e-13,-3.730349362740526e-13,4.2454928461665986e-13,1.0658141036401503e-13,2.3092638912203256e-13,4.2454928461665986e-13,LBFGS,1.0,1.0
0.01,0.01,4.96173827053393,2.25917937881665e-15,6.81859223128356e-5,-0.6577944123057149,3.0,6.0,0.75,6.0,9.915521778949659,1.0594926837913927e-14,2.4788807537596877,8.766856369470611,-4.262804527144226e-7,2.1919057034975498,-4.1559238628252615e-7,-7.349890923435964e-5,0.6577944123057149,2.1919057034975498,LBFGS,1.0,2.0
0.01,0.01,4.961738270595984,6.633708382190544e-17,6.818512610706762e-5,-0.6577944115508547,3.0,6.0,0.75,6.0,9.915521777213359,1.0594926875980083e-14,2.4788807522351113,8.76685636458907,-4.254636074563223e-7,2.191905703724301,-4.1429767350109614e-7,-7.349312195614743e-5,0.6577944115508547,2.191905703724301,NM,1.0,476.0
0.01,0.01,2.907044630113807,2.996051898027709,1.3855583347321954e-13,-1.4921397450962104e-13,3.0,6.0,0.75,3.0,12.888848537435114,22.04473025258714,3.650395479676389,5.517693470905816,2.2382096176443156e-13,-1.5276668818842154e-13,5.062616992290714e-14,1.234568003383174e-13,1.4921397450962104e-13,2.2382096176443156e-13,LBFGS,1.0,1.0
0.01,0.01,2.907044630113806,2.9960518980277078,2.2026824808563106e-13,1.9539925233402755e-13,3.0,6.0,0.75,2.0,12.888848537435774,22.04473025258705,3.6503954796765,5.517693470905615,-1.9184653865522705e-13,-2.8421709430404007e-13,8.881784197001252e-16,2.717825964282383e-13,2.2026824808563106e-13,2.8421709430404007e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301137967,2.9960518980277078,3.943512183468556e-13,2.6645352591003757e-13,3.0,6.0,0.75,1.5,12.88884853743563,22.044730252586522,3.6503954796763582,5.517693470906015,-3.907985046680551e-14,2.8066438062523957e-13,1.9451107391432743e-13,-1.1901590823981678e-13,3.943512183468556e-13,2.8066438062523957e-13,LBFGS,1.0,2.0
0.01,0.01,2.9070446301138113,2.996051898027709,-1.4921397450962104e-13,-1.4210854715202004e-14,3.0,6.0,0.75,1.2,12.888848537434944,22.044730252587147,3.650395479676364,5.517693470905938,2.9309887850104133e-13,-9.592326932761353e-14,2.2648549702353193e-14,1.7763568394002505e-14,1.4921397450962104e-13,2.9309887850104133e-13,LBFGS,1.0,1.0
0.01,0.01,4.905081427316846,1.718189759351898,0.11938011306193275,-0.6856461134708063,3.0,6.0,0.6,6.0,10.505825302287615,3.508649667618907e-6,2.6270508281534495,9.540801022696082,-0.0007929093562992762,2.6674216315180903,-0.0007927299206205163,-0.11291703329755975,0.6856461134708063,2.6674216315180903,LBFGS,1.0,9.0
0.01,0.01,4.905081425811465,1.7181897606191712,0.11938011730983078,-0.6856461130488114,3.0,6.0,0.6,6.0,10.50582531098159,3.5086497217427268e-6,2.6270508283190384,9.540801015576982,-0.000792901851720984,2.6674216314832937,-0.0007927260365709898,-0.11291703227082728,0.6856461130488114,2.6674216314832937,NM,0.0,7.0e6
0.01,0.01,2.9070446301138144,2.996051898027709,-1.7763568394002505e-13,-1.1368683772161603e-13,3.0,6.0,0.6,3.0,12.88884853743524,22.044730252586756,3.650395479676313,5.517693470905858,1.0835776720341528e-13,1.6342482922482304e-13,8.215650382226158e-14,6.483702463810914e-14,1.7763568394002505e-13,1.6342482922482304e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138104,2.996051898027709,-1.0302869668521453e-13,-1.5276668818842154e-13,3.0,6.0,0.6,2.0,12.888848537435436,22.044730252586913,3.6503954796761677,5.517693470905773,-5.3290705182007514e-14,3.552713678800501e-15,2.566835632933362e-13,1.4921397450962104e-13,1.5276668818842154e-13,2.566835632933362e-13,LBFGS,1.0,1.0
0.01,0.01,2.907044630113824,2.996051898027709,-3.304023721284466e-13,-2.4868995751603507e-13,3.0,6.0,0.6,1.5,12.888848537435504,22.044730252586824,3.6503954796764124,5.517693470905463,-8.526512829121202e-14,-1.7763568394002505e-14,-5.284661597215745e-14,4.3165471197426086e-13,3.304023721284466e-13,4.3165471197426086e-13,LBFGS,1.0,2.0
0.01,0.01,3.0135340734601543,1.3482314317200723e-15,-0.19427985006477044,-2.421427568121433,3.0,6.0,0.6,1.2,26.953516126997535,12.945930459704885,6.729304867646942,7.789909200705645e-8,0.01207717144196252,-0.036309376538230964,0.012093456962932514,3.4370500552794754,2.421427568121433,3.4370500552794754,LBFGS,1.0,22.0
0.01,0.01,3.0135340792744447,9.236858785772371e-18,-0.19427985767063305,-2.421427574733002,3.0,6.0,0.6,1.2,26.953516085370797,12.945930438646537,6.729304836611863,7.789909019009885e-8,0.012077161229598232,-0.036309367655984914,0.012093475038235546,3.4370500502577666,2.421427574733002,3.4370500502577666,NM,0.0,7.0e6
0.01,0.01,4.905081427316847,1.7181897593518989,0.1193801130619292,-0.6856461134708063,3.0,9.0,3.0,9.0,10.505825302287612,3.5086496676189448e-6,2.627050828153449,9.540801022696082,-0.0007929093563046052,2.6674216315180908,-0.0007927299206222926,-0.11291703329756153,0.6856461134708063,2.6674216315180908,LBFGS,1.0,14.0
0.01,0.01,4.905081429806724,1.7181897527928152,0.11938010255136433,-0.685646115476505,3.0,9.0,3.0,9.0,10.505825270289238,3.5086493752242992e-6,2.627050807689255,9.540801070415327,-0.0007929056762367992,2.667421630798747,-0.0007927165360048782,-0.11291704934357405,0.685646115476505,2.667421630798747,NM,0.0,7.0e6
0.01,0.01,2.9070446301137998,2.996051898027707,2.984279490192421e-13,1.3855583347321954e-13,3.0,9.0,3.0,4.5,12.88884853743599,22.04473025258608,3.650395479676115,5.517693470904699,-1.3500311979441904e-13,4.192202140984591e-13,4.787281682183675e-13,1.1235457009206584e-12,2.984279490192421e-13,1.1235457009206584e-12,LBFGS,1.0,2.0
0.01,0.01,2.9070446301138153,2.996051898027709,-2.6290081223123707e-13,-4.973799150320701e-14,3.0,9.0,3.0,3.0,12.888848537435424,22.044730252586863,3.650395479676265,5.517693470906012,-7.815970093361102e-14,6.394884621840902e-14,1.2212453270876722e-13,-8.79296635503124e-14,2.6290081223123707e-13,1.2212453270876722e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138158,2.9960518980277095,-3.943512183468556e-13,-4.973799150320701e-14,3.0,9.0,3.0,2.25,12.88884853743487,22.044730252586856,3.6503954796762472,5.517693470906219,2.9665159217984183e-13,2.3447910280083306e-13,9.370282327836321e-14,-2.5490720645393594e-13,3.943512183468556e-13,2.9665159217984183e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138255,2.996051898027708,-7.105427357601002e-14,-6.750155989720952e-14,3.0,9.0,3.0,1.8,12.88884853743598,22.044730252586366,3.6503954796767824,5.517693470905565,-3.1086244689504383e-13,2.0605739337042905e-13,-3.645972412869014e-13,2.7267077484793845e-13,7.105427357601002e-14,3.645972412869014e-13,LBFGS,1.0,1.0
0.01,0.01,4.9617382695854815,2.565412819320192e-15,6.8193086594448e-5,-0.6577944081204414,3.0,9.0,1.5,9.0,9.91552179002499,1.0594926924392853e-14,2.4788807670795876,8.76685636817836,-4.253813017385255e-7,2.191905704753545,-4.2591866566965564e-7,-7.349259476896464e-5,0.6577944081204414,2.191905704753545,LBFGS,1.0,4.0
0.01,0.01,4.9617382695854815,1.5669792995364315e-16,6.8193086594448e-5,-0.6577944081204228,3.0,9.0,1.5,9.0,9.91552179002499,1.0594926924392853e-14,2.4788807670795876,8.76685636817836,-4.253813017385255e-7,2.1919057047535473,-4.2591866566965564e-7,-7.349259476008285e-5,0.6577944081204228,2.1919057047535473,NM,1.0,378.0
0.01,0.01,2.9070446301138047,2.9960518980277095,-8.171241461241152e-14,-9.947598300641403e-14,3.0,9.0,1.5,4.5,12.888848537435447,22.04473025258705,3.6503954796760083,5.517693470906391,-1.652011860642233e-13,0.0,4.214406601477094e-13,-4.360956040727615e-13,9.947598300641403e-14,4.360956040727615e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138197,2.996051898027709,-2.3803181647963356e-13,-7.460698725481052e-14,3.0,9.0,1.5,3.0,12.888848537435305,22.044730252586834,3.650395479676505,5.51769347090598,3.907985046680551e-14,7.460698725481052e-14,-1.376676550535194e-13,-6.039613253960852e-14,2.3803181647963356e-13,1.376676550535194e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138126,2.996051898027709,-4.973799150320701e-14,-1.1013412404281553e-13,3.0,9.0,1.5,2.25,12.88884853743524,22.044730252587147,3.6503954796764164,5.517693470905871,9.592326932761353e-14,-1.8829382497642655e-13,-1.1102230246251565e-14,6.128431095930864e-14,1.1013412404281553e-13,1.8829382497642655e-13,LBFGS,1.0,2.0
0.01,0.01,2.907044630113806,2.9960518980277078,3.872457909892546e-13,1.7408297026122455e-13,3.0,9.0,1.5,1.8,12.888848537435658,22.04473025258666,3.650395479676707,5.517693470905826,-3.552713678800501e-14,6.750155989720952e-14,-1.9095836023552692e-13,5.1514348342607263e-14,3.872457909892546e-13,1.9095836023552692e-13,LBFGS,1.0,2.0
0.01,0.01,4.961738269619808,3.138919321858052e-15,6.81928087402639e-5,-0.6577944172320818,3.0,9.0,1.0,9.0,9.915521789638651,1.059492678552509e-14,2.478880766486648,8.766856360772234,-4.2543605438538634e-7,2.1919057020190174,-4.254359988742351e-7,-7.349612231521974e-5,0.6577944172320818,2.1919057020190174,LBFGS,1.0,7.0
0.01,0.01,4.9617382686225975,1.406817084799904e-17,6.8198884335402e-5,-0.6577944165975023,3.0,9.0,1.0,9.0,9.91552180927401,1.0594926866058285e-14,2.4788807650907656,8.766856346628593,-4.3308640051975544e-7,2.1919057022097626,-4.210438633300839e-7,-7.348121729933155e-5,0.6577944165975023,2.1919057022097626,NM,1.0,496.0
0.01,0.01,2.907044630113806,2.996051898027709,6.394884621840902e-14,-7.815970093361102e-14,3.0,9.0,1.0,4.5,12.888848537434983,22.044730252586923,3.650395479676326,5.517693470905987,3.197442310920451e-13,9.592326932761353e-14,1.0746958878371515e-13,-3.907985046680551e-14,7.815970093361102e-14,3.197442310920451e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138073,2.996051898027709,-9.947598300641403e-14,-7.105427357601002e-15,3.0,9.0,1.0,3.0,12.88884853743538,22.04473025258708,3.6503954796761597,5.517693470906114,-6.572520305780927e-14,-7.105427357601002e-14,2.6423307986078726e-13,-1.687538997430238e-13,9.947598300641403e-14,2.6423307986078726e-13,LBFGS,1.0,1.0
